epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,6762.74,0.86634,1.23013,2.34884,0.99226,0.78255,0.26923,0.32765,0.28,0.78255,0.26923,0.32778,0.27045,0.67612,0.89792,2.102,0.9509,0.000742815,0.000742815,0.000742815
30,6970.52,0.92179,1.32306,2.43892,1.05108,0.7316,0.21538,0.25828,0.21731,0.7316,0.21538,0.25886,0.21033,0.68196,0.94489,2.37476,0.95537,0.000709809,0.000709809,0.000709809
31,7384.9,1.04473,1.38922,2.45385,1.13671,0.83069,0.24615,0.31696,0.26225,0.83069,0.24615,0.31798,0.26041,0.70406,0.85069,2.17371,0.95816,0.000676802,0.000676802,0.000676802
32,7815.31,0.91387,1.819,2.31084,1.06553,0.72162,0.33846,0.31338,0.26135,0.73057,0.35385,0.31613,0.26159,0.67226,0.93063,5.37934,0.94144,0.000643795,0.000643795,0.000643795
33,8246.83,0.86841,1.28618,2.37216,1.02874,0.75309,0.33077,0.34987,0.29842,0.75309,0.33077,0.35221,0.28542,0.58644,0.8471,2.43509,0.90176,0.000610789,0.000610789,0.000610789
34,8685.9,0.86943,1.23348,2.18886,1.03837,0.79865,0.26154,0.31201,0.26716,0.79865,0.26154,0.31201,0.26314,0.58314,0.82143,2.811,0.90161,0.000577782,0.000577782,0.000577782
35,9122.17,0.8106,1.36537,2.09926,1.0155,0.85356,0.23077,0.30582,0.25947,0.85356,0.23077,0.30608,0.24859,0.56338,0.79376,2.5937,0.89226,0.000544776,0.000544776,0.000544776
36,9560.14,0.77725,1.27661,2.21443,0.97022,0.89517,0.23077,0.33479,0.28921,0.89517,0.23077,0.33591,0.28066,0.55334,0.79342,2.16283,0.88306,0.000511769,0.000511769,0.000511769
37,9992.37,0.78805,1.31475,2.03617,0.99805,0.78708,0.30078,0.3235,0.26416,0.78708,0.30078,0.32555,0.26208,0.68035,0.84287,2.25805,0.9544,0.000478762,0.000478762,0.000478762
38,10430.3,0.77682,1.37528,2.10215,0.97113,0.845,0.25385,0.32133,0.26944,0.845,0.25385,0.32244,0.27031,0.63301,0.81772,2.40247,0.93356,0.000445756,0.000445756,0.000445756
